网传,O,The message conveyed by the network
发凉,0.899570525,cold
作陪,0.896471918,to accompany
对前,0.892424881,to ex
惊悚,0.890928984,thriller
月色,0.882650316,moonlight
巧合,0.874386251,coincidence
诡异,0.873964131,eerie
倾家荡产,0.873725891,all the money in the world
爱到,0.86272645,love to
驸马,0.862413824,a team leader
痛下,0.860982418,painful
分尸,0.859640598,splitting a corpse
西飞,0.856085062,the west fly
离奇失踪,0.85379988,Strange Disappearance
爱你,0.851943254,love you
之南,0.8512519,The South
杀,0.846344173,Killing
网红,O,A person or object that has become popular because of an event or action
喵,0.911084294,meow
饼,0.90562135,The bread
网络红款,0.896070242,Internet Hot Style
吃火锅,0.878201842,Eat hot pot
网络爆红,0.875930667,Network burst
白菜,0.874667525,Chinese cabbage
一波,0.873838782,A wave of
爆红款,0.872349977,Hit the paragraph
吃货,0.867116928,version
声音嘶哑,0.864903569,Voice hoarse
面料,0.864186108,The fabric
凉快,0.863479435,cool
牛奶,0.8604092,milk
肉松,0.85562849,Pork floss
新鲜,0.855255544,fresh
一百分,0.854452789,A percentage
爱吃,0.852999032,Love to eat
舒服,0.851526618,comfortable
润喉,0.850981891,My throat
嗓子,0.850331783,My throat
私信,O,A one-to-one chat tool launched by Weibo
聊天,0.945402563,chat
就问,0.93901968,He asked
术业,0.9281497,The technique
口碑,0.926594734,Word of mouth
前突,0.920701146,Before the sudden
牙齿,0.91918999,teeth
比较好,0.918533564,better
bot,0.916728795,bot
靳,0.915400207,jin
口腔,0.912951231,oral
门牙,0.912702441,The front teeth
推荐,0.910624087,recommended
牙缝,0.909505129,His teeth
错位,0.908876359,dislocation
哈,0.908652425,ha
专攻,0.908088446,Specializing in
小仙女,0.907803893,fairy
私立医院,0.903543472,Private hospitals
牙齿矫正,0.900241435,orthodontics
免费咨询,0.895297348,A free consultation
防控,*,Prevention and control
大山子店,0.875058949,Dashanzi shop
徐和,0.863549352,XuHe
做好,0.861347258,do
复学,0.857568741,Go back to school
封闭,0.856737196,closed
要做好,0.854918003,To do well
副区长,0.849988997,Deputy prefects
非必要,0.844687819,Not necessary
等地,0.84352684,In places such as
餐具,0.843201816,tableware
从即日起,0.841706991,From now on
关停,0.841328263,Shut down
北京市,0.840444267,The Beijing municipal
出行,0.838801265,travel
领导小组,0.837096572,The leading group
调整,0.836934805,Adjust the
副主任,0.836848557,Deputy director of the
小组办公室,0.835548937,Group office
防护,0.83507514,protective
工作,0.834145248,work
美方,*,American side
华春莹,0.982567787,HuaChunYing
外交部,0.958884776,The Ministry of Foreign Affairs
国际社会,0.958096921,The international community
生物实验室,0.951049387,Biological laboratory
核,0.946109056,nuclear
提及,0.945308566,mention
董雪,0.944774747,Dong Xue
反华,0.944515109,anti-china
成欣,0.943142116,ChengXin
外交,0.939521194,foreign
基地,0.937570512,base
入海,0.936565399,To the sea
废水,0.933040679,Waste water
不守,0.929094374,Don't keep
中方,0.929056704,The Chinese side
排放,0.922049403,emissions
所谓,0.920532465,The so-called
嫁祸,0.918850243,charge
其他国家,0.918204308,Other countries
为什么要,0.913830519,Why do you want to
返校,O,Back to school
开学,0.936885774,Start of term
大学生,0.930630922,College students'
开学季,0.929925025,back-to-school
高校,0.908145607,Colleges and universities
洛阳,0.893060625,luoyang
放寒假,0.883232772,Winter vacation
陆续,0.881963611,In succession
寒假,0.870634019,The winter holiday
学子,0.868300855,students
高校学生,0.857729971,University students'
保定,0.856612742,baoding
校区,0.854777157,campus
各中小学校,0.854070902,Primary and secondary schools
给学生,0.852358341,To the student
考研,0.849043131,take part in the postgraduate entrance exams
往年,0.847484469,"In previous years,"
中小学,0.844149172,Primary and secondary schools
师生们,0.842041433,Teachers and students
义务教育阶段学校,0.840530515,Schools for compulsory education
校园,0.839613795,campus
熟蛋返生,*,"A paper by a teacher surnamed Guo from the city's Chunlin Vocational Training School has caught fire. The article claims that the use of ""parapsychological consciousness energy methods"" can bring ""cooked eggs back to life to hatch chicks"" and is included in the journal ""Real Geography""."
论文,0.975705981,The paper
孵小鸡,0.94133532,Hatch chicken
欺侮,0.928504348,To bully
蛋,0.919593036,egg
搞不懂,0.91850245,Don't understand
王妃,0.89705503,princess
炒房,0.894347131,Estate planning
江湖骗子,0.893594682,charlatans
冷风机,0.879835486,Air cooler
返老还童,0.878612339,rejuvenation
深房,0.877857268,Bourse of new peak of deep room
甩锅,0.871920764,Jilt pan
鑫林,0.871605873,Xin Lin
特异功能,0.868340313,psychic
养鸡,0.867014825,chicken
农牧机械,0.866871297,Agriculture and animal husbandry machinery
能信,0.865826607,Can the letter
夜意,0.862989426,Night means
培训费,0.86165446,training
谁在,0.857350707,Who is in
长安,O,"The ancient name for Xi'an in Shaanxi. It is one of the ancient capitals of China. It was the capital of the Western Han, Sui and Tang dynasties."
西安,0.927901983,Xi 'an
当前,0.922473669,The current
北宋,0.829995692,Northern song dynasty
半部,0.81119591,half
皇城,0.78842032,emperor
知我意,0.786563158,Who know my meaning
唐朝,0.785252333,The tang dynasty
南风,0.784634054,The south wind
朱雀,0.77871865,rosefinch
jf,0.768205225,jf
城墙,0.767443478,The wall
奉元,0.764723599,In yuan
成毅,0.76007092,chengyi
西北角,0.743284106,The northwest corner of
毅淇,0.741707921,YiQi
音乐剧,0.740990639,musical
推下,0.7392869,Pushed down
府,0.739041865,fu
修筑,0.738487184,To build
元朝,0.733346105,The yuan dynasty
凤凰网,X,Media Organization
以及其他,0.875745952,As well as other
前提,0.86096102,The premise
考虑,0.854829669,consider
应该,0.848549128,Should be
讨论,0.847541749,discuss
法人,0.846000969,As a legal person
看法,0.844278395,view
一些,0.843624532,Some of the
某些,0.842629492,Some of the
已经有了,0.842544794,There has been a
鼓励,0.841371894,encourage
否定,0.840527594,no
并不是,0.840471685,Is not
缺乏,0.840131342,The lack of
有人认为,0.835042536,Some people think that
绝不能,0.833140373,Must not be
排海,0.833085835,A sea
提案,0.831714451,The proposal
女性化,0.825501561,feminine
会,0.824412286,will
小女,O,modestly refers to her daughter
霓裳,0.955716729,Neon
日子,0.936337888,Day
伯远,0.931210399,Burgyuan
完美,0.927607059,Perfect
歌曲,0.926592946,Songs
饰演,0.925914586,Acting
反讽,0.925731301,Irony
说着,0.925297499,Saying
生出,0.922362566,Born
说到,0.922317028,Speaking
放纵,0.920641601,Indulge
想到,0.920609891,Thinking of
主角,0.920114219,protagonist
越,0.919965863,the more
女儿,0.918624222,daughter
女孩儿,0.916383803,Girl
幸福,0.914875209,Happiness
当兵,0.914814234,soldier
嵩哥,0.914077163,Song
理想生活,0.913081646,Ideal Life
美日,* ,US-Japan
负责任,0.930200875,Responsible
海洋,0.924541771,Marine
反华,0.917807519,Anti-Chinese
国际社会,0.913282394,International Community
董雪,0.907775164,Dong Xue
台海,0.904260457,Taiwan Sea
国际,0.903977871,International
生物武器,0.903201997,Biological Weapons
成欣,0.902985334,Cheng Xin
美方,0.902806699,U.S. side
华春莹,0.90254271,Hua Chunying
海洋环境,0.902438343,Marine Environment
诚实,0.899173498,Honesty
他指出,0.896287203,He pointed out that
公众人物,0.896039069,Public figures
透明,0.895604432,Transparency
主权,0.895460248,Sovereignty
炮轰,0.895077407,shelling
先例,0.894196868,precedent
排入,0.893888295,exclusion
